"","category","item","price1","price2","price3","price4"
"1","","","DRINKS","","",""
"2","SOFTS","Still / Sparkling / Coca-Cola / Diet Coke","1.5","","",""
"3","SOFTS","Dalston Sodas","2.5","","",""
"4","SOFTS","Cola | Lemonade |","Orangade","","",""
"5","SOFTS","DRAUGHT &","CRAFTS","","",""
"6","SOFTS","40FT Disco Pils","(draught)","","",""
"7","SOFTS","1/3 pint","2","","",""
"8","SOFTS","2/3 pint","4","","",""
"9","SOFTS","Crate Brewery (cans)","5","","",""
"10","SOFTS","Steam Lager | Lemon Gose | Belgium Pale Ale | Session","IPA","","",""
"11","SOFTS","Caple Rd. cider","4","","",""
"12","SOFTS","WINE                                                      125 | 175","|Bottle","","",""
"13","SOFTS","Rio del Mar Sauvignon Blanc                               3.5 | 5 |","20","","",""
"14","SOFTS","Poggio Nicchiaia Vermentino                               4 | 5.5 |","22","","",""
"15","SOFTS","Fidora Pinot Grigio                                       4.5 | 6 |","25","","",""
"16","SOFTS","Rio del Mar Merlot                                        3.5 | 5 |","20","","",""
"17","SOFTS","Beaujolais Villages                                       4.5 | 6 |","25","","",""
"18","SOFTS","Spinyback Pinot Noir                                      5 | 7 |","28","","",""
